,geo_code,Secondary (high) school diploma or equivalency certificate,"College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,Bachelor's degree,"Degree in medicine, dentistry, veterinary medicine or optometry",Master's degree,Earned doctorate
267,35240470,15,15,10,75,15,40,10
269,35240471,20,20,0,95,15,10,0
271,35240472,20,20,25,125,0,15,0
273,35240473,45,45,0,50,0,25,0
275,35240474,55,55,0,55,10,30,10
277,35240475,45,45,10,85,10,15,0
279,35240476,40,40,0,55,10,25,0
281,35240477,45,45,15,40,15,45,10
283,35240478,35,35,10,25,0,10,0
285,35240479,15,15,0,25,0,15,0
287,35240480,45,45,10,40,0,15,0
289,35240481,20,20,10,40,0,10,0
291,35240482,90,90,15,45,0,20,0
293,35240483,40,40,0,30,0,15,0
295,35240484,95,95,0,100,10,40,0
297,35240485,40,40,10,25,0,0,0
299,35240486,80,80,0,65,0,20,0
301,35240487,25,25,0,10,0,0,0
303,35240488,135,135,10,55,0,25,10
305,35240489,45,45,0,55,0,0,0
307,35240490,40,40,0,10,0,0,0
309,35240491,75,75,10,80,0,10,0
311,35240492,60,60,0,45,0,10,0
313,35240493,55,55,10,55,0,10,0
315,35240494,55,55,0,40,0,10,0
317,35240495,70,70,20,45,0,0,0
319,35240496,30,30,0,30,0,0,0
321,35240497,35,35,10,40,0,10,10
323,35240498,25,25,0,10,0,0,10
325,35240499,30,30,0,15,0,0,0
327,35240501,35,35,0,25,0,0,0
329,35240503,65,65,0,30,0,0,0
331,35240504,35,35,0,35,0,15,0
333,35240505,30,30,10,30,0,15,0
335,35240506,55,55,10,25,0,10,0
337,35240507,50,50,0,30,0,10,0
339,35240508,60,60,10,45,0,10,10
341,35240509,30,30,0,25,10,10,0
343,35240512,20,20,0,35,0,10,0
345,35240513,15,15,10,20,0,15,0
347,35240516,40,40,15,55,10,50,0
349,35240517,50,50,0,20,0,20,10
351,35240518,45,45,0,80,0,20,0
353,35240519,50,50,10,20,0,10,0
355,35240520,85,85,0,55,0,25,0
357,35240521,30,30,10,55,0,10,0
359,35240522,20,20,0,55,0,10,10
361,35240523,30,30,0,40,0,20,0
363,35240524,35,35,10,80,10,20,0
365,35240525,50,50,10,50,0,30,10
367,35240526,35,35,0,15,0,0,0
369,35240528,30,30,10,35,0,15,0
371,35240529,45,45,10,30,0,0,0
373,35240530,60,60,10,40,0,10,0
375,35240531,70,70,0,25,0,10,10
377,35240532,130,130,10,75,0,35,10
379,35240533,30,30,0,25,0,15,0
381,35240534,60,60,15,10,0,10,0
383,35240535,60,60,10,25,0,0,0
385,35240536,45,45,10,50,0,30,10
387,35240537,35,35,0,55,0,15,0
389,35240538,105,105,0,40,0,10,0
391,35240539,75,75,20,75,0,15,0
393,35240540,45,45,10,45,0,0,0
395,35240541,30,30,10,45,10,10,10
397,35240542,35,35,10,40,0,10,0
399,35240543,50,50,10,45,10,0,10
401,35240544,40,40,10,40,0,0,0
403,35240545,100,100,0,90,0,10,10
405,35240546,75,75,20,15,0,0,0
407,35240590,85,85,0,85,0,30,15
409,35240591,90,90,25,35,10,15,0
411,35240592,185,185,0,95,0,35,0
413,35240593,145,145,15,100,0,20,10
415,35240594,70,70,10,20,0,0,0
417,35240595,115,115,0,45,0,10,0
419,35240596,100,100,15,55,15,25,10
421,35240598,180,180,10,140,10,110,15
423,35240641,40,40,10,25,15,15,0
425,35240642,55,55,0,55,10,15,0
427,35240643,30,30,20,55,0,15,0
429,35240644,50,50,0,15,10,25,0
431,35240645,35,35,10,35,0,10,0
433,35240647,60,60,10,60,10,15,0
435,35240648,70,70,15,30,0,0,0
437,35240649,70,70,10,50,0,10,0
439,35240650,85,85,10,95,0,25,20
441,35240651,50,50,0,35,0,25,0
443,35240654,45,45,0,55,0,20,0
445,35240655,105,105,25,175,15,50,0
447,35240656,20,20,0,45,0,15,0
449,35240659,35,35,0,55,0,25,0
451,35240660,55,55,10,40,0,15,0
453,35240661,60,60,0,50,0,25,0
455,35240662,145,145,15,210,10,65,10
457,35240663,40,40,15,75,0,10,0
459,35240664,35,35,10,60,0,30,0
461,35240665,30,30,0,80,0,10,10
463,35240666,70,70,10,65,0,15,10
465,35240667,45,45,0,75,0,10,0
467,35240668,40,40,0,35,0,15,10
469,35240669,85,85,10,70,10,15,15
471,35240670,35,35,0,95,0,25,0
473,35240671,35,35,15,60,0,10,10
475,35240672,75,75,20,80,0,15,0
477,35240673,25,25,0,35,0,10,10
479,35240674,30,30,10,90,0,15,0
481,35240675,90,90,0,115,0,45,10
483,35240676,75,75,15,105,10,30,10
485,35240677,30,30,10,60,0,10,10
487,35240678,115,115,0,110,10,55,0
489,35240679,60,60,0,65,0,25,0
491,35240680,105,105,10,90,0,30,0
493,35240681,55,55,0,40,0,20,0
495,35240682,40,40,10,65,0,10,0
497,35240683,65,65,20,35,0,15,0
499,35240684,70,70,0,35,0,25,0
501,35240685,75,75,15,115,10,40,10
503,35240686,80,80,0,115,10,65,10
505,35240756,45,45,10,70,0,30,0
507,35240757,50,50,10,65,0,0,0
509,35240758,70,70,15,105,10,40,0
511,35240759,50,50,20,65,0,15,0
513,35240780,60,60,0,80,0,35,15
515,35240782,65,65,0,80,0,20,0
517,35240783,45,45,0,35,0,20,0
519,35240785,55,55,10,120,10,35,0
521,35240807,75,75,10,50,10,15,0
523,35240808,90,90,10,50,0,35,15
525,35240809,20,20,0,0,0,0,0
527,35240898,295,295,25,245,0,55,10
529,35240903,0,0,0,0,0,0,0
531,35240904,130,130,15,110,0,70,10
533,35250030,60,60,0,20,0,0,10
535,35250031,40,40,0,15,0,10,15
537,35250032,60,60,0,40,15,35,0
539,35250033,50,50,0,45,15,25,10
541,35250034,45,45,0,45,0,10,0
543,35250035,25,25,0,15,0,15,0
545,35250036,40,40,0,35,10,0,20
547,35250037,40,40,0,35,10,15,20
549,35250038,50,50,0,40,10,10,0
551,35250039,20,20,0,10,0,0,0
553,35250040,10,10,20,30,10,15,0
555,35250041,70,70,0,10,0,10,0
557,35250042,20,20,0,0,0,0,0
559,35250043,45,45,0,25,10,15,0
561,35250044,40,40,10,50,0,10,10
563,35250045,50,50,0,35,0,15,0
565,35250046,30,30,0,60,0,10,15
567,35250047,40,40,10,45,10,15,25
569,35250048,10,10,0,55,0,0,15
571,35250049,25,25,0,15,0,15,0
573,35250050,20,20,0,45,0,10,0
575,35250051,90,90,10,130,15,50,25
577,35250052,25,25,0,35,0,15,0
579,35250053,35,35,0,70,15,45,20
581,35250054,15,15,0,15,0,30,10
583,35250055,50,50,15,65,0,10,10
585,35250056,30,30,0,20,0,10,0
587,35250059,80,80,15,85,10,45,15
589,35250060,35,35,15,55,0,30,0
591,35250061,30,30,0,50,0,20,15
593,35250062,30,30,0,60,0,35,0
595,35250064,50,50,20,80,10,15,10
597,35250065,45,45,10,60,15,35,10
599,35250066,15,15,10,30,0,35,0
601,35250067,75,75,10,60,0,20,10
603,35250070,40,40,0,25,0,20,0
605,35250073,40,40,0,20,0,10,0
607,35250074,25,25,0,25,0,0,10
609,35250075,55,55,0,10,0,10,0
611,35250077,30,30,0,25,0,10,0
613,35250078,35,35,0,20,0,20,0
615,35250079,35,35,10,0,0,0,0
617,35250080,50,50,10,15,0,20,0
619,35250081,60,60,10,45,0,0,10
621,35250082,25,25,10,10,0,10,0
623,35250083,30,30,10,55,0,10,0
625,35250084,25,25,10,0,0,10,0
627,35250085,25,25,0,10,0,0,0
629,35250086,25,25,0,20,0,0,0
631,35250087,30,30,10,30,0,20,10
633,35250088,30,30,0,60,0,15,0
635,35250089,45,45,10,20,0,0,0
637,35250093,60,60,0,10,0,15,0
639,35250094,50,50,10,10,0,0,0
641,35250095,70,70,10,30,0,10,10
643,35250096,60,60,10,25,0,0,0
645,35250097,20,20,0,55,0,10,0
647,35250098,15,15,0,35,0,15,0
649,35250099,80,80,10,65,0,20,10
651,35250100,60,60,10,20,0,0,10
653,35250101,35,35,0,30,0,15,0
655,35250102,15,15,10,30,0,10,10
657,35250105,75,75,10,30,10,0,0
659,35250106,50,50,0,15,0,10,0
661,35250107,55,55,0,30,0,10,0
663,35250108,60,60,10,15,0,15,10
665,35250109,65,65,0,45,10,20,0
667,35250110,60,60,0,20,0,0,10
669,35250111,15,15,0,20,0,15,0
671,35250112,45,45,10,10,0,0,0
673,35250113,30,30,15,15,0,10,0
675,35250114,45,45,0,15,0,10,0
677,35250115,135,135,0,70,0,10,0
679,35250116,70,70,0,25,0,0,0
681,35250117,15,15,0,10,0,0,0
683,35250118,45,45,0,0,0,0,0
685,35250119,35,35,0,30,10,10,10
687,35250120,50,50,0,40,0,0,0
689,35250121,25,25,10,0,0,0,0
691,35250122,35,35,0,15,10,0,0
693,35250123,30,30,0,10,0,15,0
695,35250124,45,45,10,0,0,0,0
697,35250125,20,20,0,15,0,0,10
699,35250126,50,50,15,15,0,10,0
701,35250127,130,130,15,95,10,35,0
703,35250128,50,50,0,30,0,15,0
705,35250129,30,30,0,25,0,0,0
707,35250130,40,40,0,10,10,20,10
709,35250133,20,20,0,10,0,0,10
711,35250134,55,55,20,35,0,15,0
713,35250135,165,165,20,95,20,15,0
715,35250136,45,45,0,30,10,0,0
717,35250137,35,35,0,15,0,0,0
719,35250144,120,120,10,115,15,25,15
721,35250145,55,55,0,50,0,10,0
723,35250146,65,65,0,110,30,10,0
725,35250147,50,50,0,40,0,10,0
727,35250148,70,70,0,35,0,10,0
729,35250149,35,35,0,65,0,15,10
731,35250150,55,55,10,25,0,10,0
733,35250151,40,40,10,30,10,25,10
735,35250152,105,105,0,145,10,45,10
737,35250153,60,60,0,55,0,25,0
739,35250156,20,20,10,30,0,15,0
741,35250158,30,30,10,35,25,35,0
743,35250159,20,20,10,45,10,20,10
745,35250160,30,30,0,20,10,0,0
747,35250161,50,50,0,85,15,30,10
749,35250162,40,40,0,65,0,15,0
751,35250163,25,25,0,70,25,15,0
753,35250164,35,35,0,50,0,10,0
755,35250172,45,45,0,15,10,10,0
757,35250173,105,105,0,35,0,0,0
759,35250175,105,105,10,45,0,10,0
761,35250176,80,80,0,20,0,10,0
763,35250177,45,45,10,50,10,10,0
765,35250178,60,60,0,10,0,0,10
767,35250179,70,70,10,35,0,15,0
769,35250180,160,160,15,55,0,25,0
771,35250181,55,55,0,10,0,0,0
773,35250183,20,20,0,10,0,10,0
775,35250184,45,45,0,0,0,0,0
777,35250185,30,30,0,10,0,0,0
779,35250186,20,20,0,0,0,0,0
781,35250188,50,50,0,55,0,10,0
783,35250189,55,55,10,35,0,0,0
785,35250190,45,45,10,0,0,0,0
787,35250191,55,55,10,0,0,10,0
789,35250192,145,145,25,110,0,0,0
791,35250193,45,45,0,10,0,10,0
793,35250194,65,65,10,15,0,10,0
795,35250196,45,45,15,20,0,0,0
797,35250197,55,55,10,15,0,15,0
799,35250199,175,175,30,140,10,60,10
801,35250200,105,105,10,35,0,0,10
803,35250201,20,20,0,15,0,0,0
805,35250202,95,95,0,40,0,10,0
807,35250203,70,70,10,30,0,10,0
809,35250204,60,60,10,25,0,0,0
811,35250205,15,15,0,10,0,0,0
813,35250206,65,65,0,20,0,0,0
815,35250207,35,35,10,15,0,10,0
817,35250208,30,30,0,30,0,10,0
819,35250209,20,20,0,30,0,10,0
821,35250210,55,55,0,20,0,15,0
823,35250211,20,20,10,15,0,0,0
825,35250212,35,35,0,35,0,10,0
827,35250213,30,30,10,15,0,0,0
829,35250216,25,25,10,20,0,0,0
831,35250217,45,45,0,15,0,10,0
833,35250218,45,45,0,15,0,10,0
835,35250221,70,70,0,15,0,0,0
837,35250222,25,25,10,20,0,0,0
839,35250223,50,50,0,10,0,10,0
841,35250224,20,20,10,10,0,10,0
843,35250225,30,30,0,0,0,10,0
845,35250226,50,50,0,0,0,0,0
847,35250227,50,50,0,15,0,0,0
849,35250230,35,35,10,15,0,10,0
851,35250231,25,25,0,20,0,10,0
853,35250232,25,25,0,10,0,0,0
855,35250233,45,45,0,20,0,10,0
857,35250234,15,15,0,10,0,0,0
859,35250238,30,30,10,25,0,10,0
861,35250239,15,15,0,35,0,0,0
863,35250240,40,40,0,10,0,0,0
865,35250241,15,15,0,20,0,0,0
867,35250242,0,0,0,0,0,0,0
869,35250243,55,55,10,25,0,10,0
871,35250248,65,65,15,20,0,10,0
873,35250249,25,25,10,10,0,0,10
875,35250250,60,60,10,15,0,0,0
877,35250251,30,30,0,15,0,10,0
879,35250254,60,60,0,15,0,0,0
881,35250255,45,45,0,15,0,0,10
883,35250256,55,55,0,25,0,0,0
885,35250257,70,70,10,30,0,15,0
887,35250258,50,50,10,20,0,0,0
889,35250259,50,50,0,30,0,0,0
891,35250260,10,10,0,25,0,10,0
893,35250261,35,35,0,0,0,0,0
895,35250262,45,45,0,35,0,10,0
897,35250263,70,70,0,65,0,0,0
899,35250264,25,25,10,30,0,10,0
901,35250265,35,35,0,20,0,0,0
903,35250266,30,30,0,10,0,0,0
905,35250267,40,40,0,25,0,10,0
907,35250269,30,30,0,10,0,15,0
909,35250270,20,20,0,25,0,0,0
911,35250271,40,40,0,25,0,10,0
913,35250272,35,35,10,10,0,10,0
915,35250273,20,20,0,20,0,10,0
917,35250274,90,90,0,15,0,15,0
919,35250275,55,55,0,0,0,0,0
921,35250276,50,50,10,20,0,10,0
923,35250277,35,35,0,10,0,0,0
925,35250278,30,30,0,0,0,0,0
927,35250279,30,30,0,20,0,0,0
929,35250280,40,40,0,10,0,0,0
931,35250281,50,50,10,10,0,0,0
933,35250282,50,50,0,25,0,0,0
935,35250283,45,45,10,30,0,0,0
937,35250284,30,30,0,25,0,0,0
939,35250285,80,80,0,25,0,10,0
941,35250286,20,20,0,10,0,0,0
943,35250287,65,65,0,40,0,10,0
945,35250288,50,50,0,0,0,0,0
947,35250289,70,70,10,40,0,10,10
949,35250290,70,70,0,10,0,0,0
951,35250291,85,85,0,65,0,10,0
953,35250293,105,105,10,50,0,0,0
955,35250294,45,45,0,10,10,0,0
957,35250295,35,35,0,30,0,10,0
959,35250296,30,30,15,0,0,0,0
961,35250297,55,55,10,25,0,10,0
963,35250298,50,50,0,30,0,20,0
965,35250299,45,45,10,55,0,10,0
967,35250300,60,60,15,45,0,15,0
969,35250302,50,50,0,20,0,10,0
971,35250303,20,20,0,20,0,10,0
973,35250304,35,35,0,35,0,10,0
975,35250305,55,55,10,10,0,0,10
977,35250306,40,40,0,20,0,10,0
979,35250307,40,40,10,15,0,0,0
981,35250308,70,70,0,50,10,10,0
983,35250309,35,35,0,20,0,0,0
985,35250310,40,40,0,15,0,15,0
987,35250311,35,35,0,25,0,10,0
989,35250312,35,35,10,35,0,10,0
991,35250313,80,80,10,60,0,0,10
993,35250315,75,75,10,35,0,0,0
995,35250316,55,55,0,20,10,30,0
997,35250317,85,85,0,15,0,20,0
999,35250318,10,10,0,0,0,0,0
1001,35250319,50,50,0,10,0,0,0
1003,35250320,30,30,10,20,0,10,0
1005,35250321,35,35,0,10,0,10,0
1007,35250322,15,15,0,0,0,0,0
1009,35250323,25,25,0,10,0,0,0
1011,35250324,15,15,0,0,0,0,0
1013,35250326,35,35,0,10,0,0,0
1015,35250327,35,35,0,15,0,0,0
1017,35250328,30,30,0,10,0,0,0
1019,35250329,45,45,0,0,0,10,0
1021,35250330,20,20,10,10,0,0,0
1023,35250331,25,25,0,0,0,0,0
1025,35250332,55,55,0,0,0,0,0
1027,35250333,70,70,10,10,0,0,0
1029,35250334,50,50,0,20,0,0,0
1031,35250335,35,35,0,15,0,0,0
1033,35250336,45,45,0,15,0,0,0
1035,35250337,55,55,10,25,0,15,0
1037,35250338,55,55,0,15,0,0,0
1039,35250339,70,70,20,10,0,0,0
1041,35250340,25,25,0,10,0,0,0
1043,35250341,20,20,0,30,0,0,0
1045,35250342,40,40,0,10,0,0,0
1047,35250343,45,45,0,30,0,0,0
1049,35250344,55,55,10,15,0,0,0
1051,35250345,45,45,10,30,0,0,0
1053,35250346,35,35,0,10,0,0,0
1055,35250347,55,55,0,0,0,10,0
1057,35250348,45,45,0,65,0,10,0
1059,35250349,60,60,0,20,0,0,0
1061,35250350,60,60,0,25,0,10,0
1063,35250351,30,30,0,0,0,0,0
1065,35250352,55,55,0,10,0,10,0
1067,35250353,40,40,0,10,0,0,0
1069,35250354,70,70,0,25,0,20,0
1071,35250355,75,75,0,10,0,0,0
1073,35250356,60,60,0,20,0,10,0
1075,35250357,25,25,0,40,0,10,0
1077,35250358,50,50,10,15,0,0,0
1079,35250359,40,40,0,15,0,0,0
1081,35250360,45,45,0,10,0,10,0
1083,35250361,40,40,0,20,0,10,0
1085,35250362,75,75,0,10,0,0,0
1087,35250363,50,50,0,15,0,0,0
1089,35250364,25,25,10,10,0,0,0
1091,35250365,85,85,0,25,0,0,0
1093,35250366,60,60,20,15,0,0,10
1095,35250367,65,65,0,10,0,0,0
1097,35250368,25,25,0,20,10,0,0
1099,35250369,35,35,0,0,0,0,0
1101,35250370,25,25,10,20,0,0,10
1103,35250371,35,35,0,10,0,10,0
1105,35250372,55,55,0,10,0,0,0
1107,35250373,25,25,10,10,0,0,10
1109,35250374,55,55,10,20,0,0,0
1111,35250375,55,55,0,20,0,0,0
1113,35250376,45,45,0,20,0,0,0
1115,35250377,85,85,0,35,0,0,0
1117,35250378,40,40,10,30,0,10,0
1119,35250379,15,15,0,10,0,0,0
1121,35250380,50,50,0,45,10,10,0
1123,35250381,30,30,0,30,0,0,0
1125,35250382,70,70,0,40,0,10,0
1127,35250383,75,75,0,10,0,15,0
1129,35250384,40,40,0,15,0,20,0
1131,35250385,40,40,0,40,10,0,0
1133,35250387,25,25,10,45,0,30,15
1135,35250388,30,30,0,55,10,25,10
1137,35250389,30,30,0,45,15,25,0
1139,35250390,50,50,0,20,0,15,10
1141,35250391,65,65,10,50,10,30,10
1143,35250392,15,15,0,50,0,35,10
1145,35250393,40,40,10,60,10,0,10
1147,35250394,45,45,15,45,0,25,15
1149,35250395,60,60,0,25,10,15,10
1151,35250396,35,35,10,45,0,25,0
1153,35250397,65,65,10,45,0,15,0
1155,35250398,20,20,0,15,0,0,0
1157,35250399,75,75,10,30,0,10,10
1159,35250400,45,45,0,65,0,15,15
1161,35250401,40,40,0,70,0,20,15
1163,35250402,45,45,10,60,0,15,10
1165,35250403,70,70,0,60,0,20,25
1167,35250404,30,30,0,30,0,20,10
1169,35250405,15,15,0,25,0,10,0
1171,35250406,35,35,0,45,0,10,0
1173,35250407,20,20,0,35,0,0,0
1175,35250408,55,55,10,30,0,15,0
1177,35250409,20,20,0,15,0,15,10
1179,35250410,15,15,10,45,0,0,0
1181,35250411,55,55,0,35,0,0,0
1183,35250412,40,40,10,15,0,0,10
1185,35250413,30,30,0,35,0,20,10
1187,35250416,35,35,10,30,0,0,10
1189,35250417,25,25,0,20,0,20,0
1191,35250418,30,30,10,40,10,20,10
1193,35250419,55,55,10,40,0,15,15
1195,35250420,55,55,10,95,35,55,35
1197,35250421,30,30,0,55,0,25,0
1199,35250422,55,55,20,55,0,10,10
1201,35250423,55,55,0,40,10,35,10
1203,35250424,45,45,0,70,0,20,10
1205,35250425,70,70,25,70,0,20,15
1207,35250426,20,20,0,65,0,20,10
1209,35250427,30,30,0,10,10,15,0
1211,35250428,50,50,0,25,0,25,0
1213,35250429,30,30,10,15,0,25,0
1215,35250430,40,40,0,35,0,10,0
1217,35250431,45,45,10,20,0,10,0
1219,35250434,100,100,10,130,20,55,0
1221,35250435,60,60,10,40,0,10,0
1223,35250436,35,35,0,0,0,0,0
1225,35250437,20,20,0,45,0,15,0
1227,35250438,25,25,0,25,0,0,0
1229,35250439,40,40,0,15,0,10,0
1231,35250440,70,70,15,60,0,20,0
1233,35250441,45,45,0,25,10,0,0
1235,35250442,90,90,10,45,10,10,0
1237,35250443,25,25,0,25,0,0,0
1239,35250444,30,30,10,20,0,0,0
1241,35250445,45,45,0,15,0,0,0
1243,35250446,60,60,0,35,0,0,10
1245,35250447,25,25,0,0,0,10,0
1247,35250448,50,50,10,25,0,10,10
1249,35250449,25,25,10,20,0,10,0
1251,35250450,35,35,0,10,0,10,10
1253,35250451,10,10,0,0,0,0,0
1255,35250452,20,20,0,35,0,10,0
1257,35250453,35,35,0,10,0,10,0
1259,35250454,55,55,0,25,0,15,0
1261,35250455,50,50,10,20,0,10,0
1263,35250456,40,40,0,15,0,0,0
1265,35250457,0,0,0,0,0,0,0
1267,35250458,15,15,0,15,0,0,0
1269,35250459,65,65,10,30,0,0,0
1271,35250460,35,35,0,0,0,0,0
1273,35250461,15,15,0,10,0,0,0
1275,35250462,25,25,10,10,0,0,0
1277,35250463,30,30,0,0,0,10,0
1279,35250464,15,15,0,15,0,10,0
1281,35250465,40,40,0,75,0,0,0
1283,35250466,20,20,0,15,0,0,0
1285,35250467,55,55,0,20,10,15,10
1287,35250468,45,45,0,30,10,20,0
1289,35250471,15,15,0,10,0,10,0
1291,35250472,20,20,0,20,0,0,0
1293,35250473,20,20,0,0,0,0,0
1295,35250474,60,60,0,20,0,10,0
1297,35250475,45,45,0,20,0,10,0
1299,35250476,25,25,0,10,0,0,0
1301,35250477,35,35,0,0,0,10,0
1303,35250478,20,20,0,25,0,10,0
1305,35250479,35,35,0,15,0,10,0
1307,35250480,15,15,0,15,0,0,0
1309,35250481,0,0,0,0,0,0,0
1311,35250482,30,30,0,10,0,0,0
1313,35250483,35,35,10,0,0,0,0
1315,35250484,20,20,0,15,0,0,0
1317,35250485,20,20,0,0,0,0,0
1319,35250486,60,60,10,15,0,0,0
1321,35250487,15,15,0,15,0,0,0
1323,35250488,35,35,0,10,0,0,0
1325,35250489,25,25,0,10,0,10,0
1327,35250490,10,10,10,0,0,0,0
1329,35250491,15,15,0,10,0,10,0
1331,35250492,35,35,10,10,0,10,0
1333,35250493,40,40,0,20,0,0,0
1335,35250494,15,15,0,0,0,10,0
1337,35250495,25,25,0,10,0,10,0
1339,35250496,15,15,10,10,0,0,0
1341,35250497,35,35,0,50,0,20,10
1343,35250498,35,35,0,35,0,0,0
1345,35250499,25,25,10,40,0,15,15
1347,35250501,10,10,10,65,0,30,0
1349,35250502,40,40,0,45,0,10,35
1351,35250503,60,60,0,75,0,15,20
1353,35250504,25,25,0,35,0,20,10
1355,35250506,30,30,0,15,0,15,15
1357,35250507,50,50,10,30,0,0,10
